"";"CTRL7_F0";"CTRL8_F0";"CTRL9_F0";"HFD4_F0";"HFD7_F0";"HFD8_F0";"HFDt1_F0";"HFDt5_F0";"HFDt8_F0";"CTRL3_F1";"CTRL6_F1";"HFD5_F1";"HFD8_F1";"HFDt1_F1";"HFDt2_F1";"CTRL5_F2";"CTRL7_F2";"CTRL9_F2";"HFD5_F2";"HFD6_F2";"HFD11_F2";"HFDt4_F2";"HFDt5_F2";"HFDt8_F2"
"miRNA";1671824.43660624;1668774.38640926;1011361.84969466;1833968.86340738;803524.453419958;881528.789858581;855203.897939205;153030.514476337;936165.307257137;266533.121409644;347666.015277389;201232.35182561;1624897.83654355;450978.334749432;1477250.99638233;1391474.99878736;1397068.90149784;1150943.13690835;1781699.12010422;1428535.96744346;2146628.75752605;2779719.07842562;1815369.63899419;1689519.37177179
"tsRNA";3114740.06552974;6131667.34401298;9214717.07014783;6279063.0463715;6084954.42017768;6023521.60842946;9001974.93209337;4326526.7779958;4478536.39864255;2420131.54414714;5020074.05602316;5228957.274075;4399929.06079048;4886841.09683302;6166876.45003948;4957389.39810223;4362913.24000937;4039898.72347823;8326078.05504103;6292316.49193823;3455418.72167811;5827817.10986021;5204640.8965472;3402712.35702893
"mitotRNA";30359.8348547704;33050.6468547959;30891.1476071423;27002.8265955806;32806.2680421757;34211.5259238996;25719.2015713965;50593.2819143407;49824.8962775556;58546.9057160329;40369.0403281815;39584.0656401017;47007.8339021308;41469.6463425812;20277.7013820263;23309.0478203633;65068.7542160902;43324.5048897153;25202.1781956763;37762.1940141486;99534.4010969285;33792.9588172323;86222.2063456096;42571.9227766591
"piRNA";990251.833303456;1298493.02467445;662634.471528847;878430.425998538;932282.302136632;587084.895534994;630051.255081645;147575.518120539;744541.705070207;329732.903791219;318622.743996197;246370.209403625;972893.415703689;262779.555704407;1030431.23348118;1000493.83850615;950131.128636336;756506.632634666;856957.832127207;964659.329042432;1385061.90178885;974327.262238921;819311.047064753;1056533.90576285
"rsRNA";490562.532383785;464811.263478017;516136.68796599;473293.084220355;543247.386672903;718767.868458309;777152.230597968;692367.270674116;1272368.15229931;1293021.75958819;698535.937659276;581420.364066509;611331.377307958;539440.055611154;415725.530712431;851642.141860493;685387.635872687;535205.253082442;264241.019869818;533772.686990654;573890.52573265;382555.438617859;398713.43596769;497796.475445427
"Y RNA";28831.0482447474;24236.2688807631;22456.0836176733;30992.2287757007;13938.9120574441;15733.052045997;15162.8764106156;14379.2980224572;16161.6540396237;13196.2942717635;13739.8141992416;10483.3750888965;17135.586989207;21050.5951196083;21319.1404778093;20284.6815424593;14010.1838346106;27112.3271741654;32452.4801557265;20459.6744627837;19899.5960300064;26405.4016933094;19321.0381314068;30261.6652359681
"Unannotated RNA";536845.525866138;322001.031553264;482528.04842649;397533.501563204;521822.762584609;626554.938404215;535488.166867329;721494.508678398;878859.690482264;1356307.57358762;783303.733185778;740182.165266054;435233.847648368;587825.433159985;292306.405130341;362047.665339865;413603.685335783;372831.311037408;255392.203128572;411647.76234048;432480.129248219;320957.753488889;325413.289862814;450484.676765733
"Other reads";4343538.77248199;3966243.66577287;5362729.35433003;3548096.42183024;5183970.63841809;5464775.8504624;5525976.51776286;8370073.35842744;4257923.702779;20584692.0027341;5390213.77221247;9602910.00966123;4577450.97498236;5710613.93408077;4406319.64867694;3818678.71596007;3588746.69594528;2824522.85574444;3886386.87003508;3382472.40090223;3380718.55023851;4228072.12214355;3576988.11698113;3245645.85997572
