"Annotation" "Reads.1" "Reads.2" "Reads.3" "Reads.4" "Reads.5" "Reads.6" "Reads.7" "Reads.8" "Reads.9" "Reads.10" "Reads.11" "Reads.12" "Reads.13" "Reads.14" "Reads.15" "Reads.16" "Reads.17" "Reads.18" "Reads.19" "Reads.20" "Reads.21" "Reads.22" "Reads.23" "Reads.24"
"41" "mmu-miR-12191-3p" 1 NA NA 1 2 1 NA NA 1 NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA
"42" "mmu-miR-122-3p" 24 NA NA NA NA NA NA NA 3 NA 3 NA 2 NA NA NA 8 NA 13 17 1 NA NA NA
"43" "mmu-miR-122-5p" 451 1 1 100 NA 63 NA 4 7 3 111 1 10 5 NA 126 88 NA 522 549 524 9 37 25
"44" "mmu-miR-124-3p" 57 15 103 138 18 73 17 19 38 39 17 1 6 11 42 78 137 124 124 95 79 80 69 90
"45" "mmu-miR-1247-5p" 46 8 237 102 25 98 38 20 31 27 15 1 9 1 84 63 47 30 40 96 74 56 153 67
"46" "mmu-miR-1249-3p" 19 9 116 54 7 65 16 3 16 29 1 5 11 1 49 29 38 75 65 57 50 20 171 124
"47" "mmu-miR-1251-5p" 17 NA 14 4 2 4 NA 5 9 4 NA NA 1 NA 34 NA 9 8 2 NA 1 1 11 1
"48" "mmu-miR-125a-3p" 46 3 15 13 8 62 NA 8 15 16 5 1 6 2 NA 22 40 NA 17 20 51 18 86 39
"49" "mmu-miR-125a-5p" 9392 1243 26696 7214 3286 29237 2040 4534 3714 3684 1350 239 1586 333 3936 4313 7462 3146 6383 6972 18750 3849 21896 10139
"50" "mmu-miR-125b-1-3p" 109 27 146 53 23 97 NA 53 48 19 9 3 5 4 45 66 49 26 32 100 89 70 102 60
"51" "mmu-miR-125b-2-3p" 206 36 349 209 221 253 204 109 98 74 17 12 42 10 129 128 172 319 104 141 192 153 270 278
"52" "mmu-miR-125b-5p" 20211 6707 55394 23070 12048 79413 8058 16864 12192 12238 4636 1118 5462 1386 15316 17332 23296 12580 29902 19486 42961 13603 91480 36211
"53" "mmu-miR-126a-3p" 14979 2604 16182 10906 12371 14016 3301 7725 5464 3161 426 529 2314 998 5096 3651 3732 7404 3661 8071 6775 12748 18820 10069
"54" "mmu-miR-126a-5p" 436 90 2051 1689 1494 3278 607 727 1154 818 41 69 302 86 755 434 767 1162 650 713 1529 1113 3361 976
"55" "mmu-miR-126b-3p" 3 NA NA 1 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"56" "mmu-miR-127-3p" 125 73 298 208 130 224 29 114 85 36 54 10 51 24 179 249 248 317 349 223 188 338 787 1317
"57" "mmu-miR-127-5p" 2 NA 1 9 NA 10 NA 2 2 5 NA NA 1 3 12 9 25 NA 2 13 11 6 26 7
"58" "mmu-miR-128-3p" 308 72 729 455 232 899 164 257 321 432 63 22 109 79 380 476 676 458 622 557 1092 442 981 613
"59" "mmu-miR-129-1-3p" 2 NA 14 7 NA 7 NA NA 1 NA 4 1 NA NA NA 2 2 NA 2 NA NA NA 2 7
"60" "mmu-miR-129-2-3p" 4 1 7 20 2 11 NA 5 4 2 NA 1 NA NA NA 25 10 112 20 15 2 NA 9 57
"61" "mmu-miR-129-5p" 9 2 48 21 29 43 43 9 38 24 4 3 4 NA 14 34 12 97 48 15 35 NA 19 70
"62" "mmu-miR-1306-3p" 1 NA NA 3 NA 2 NA NA 1 1 NA NA NA NA NA 5 NA NA NA NA NA NA 5 NA
"63" "mmu-miR-1306-5p" 2 2 12 7 NA 10 NA NA NA 4 NA NA 1 NA NA NA 9 NA 5 NA 13 15 7 11
"64" "mmu-miR-130a-3p" 221 118 260 211 265 323 148 166 104 121 29 10 25 21 232 77 123 320 129 119 199 271 255 272
"65" "mmu-miR-130b-3p" 17 4 15 39 5 36 NA 13 17 6 1 1 3 1 19 14 32 36 34 31 35 NA 54 26
"66" "mmu-miR-130b-5p" 47 10 115 51 26 89 NA 38 22 27 4 3 21 6 147 45 68 59 86 38 78 36 79 56
"67" "mmu-miR-132-3p" 57 6 15 26 10 77 NA 11 20 7 5 5 3 NA NA 34 25 NA 36 22 61 48 110 63
"68" "mmu-miR-133a-3p" 1416 5 153 145 59 31 NA 3 39 10 3 3 94 12 26 13 22 196 29 41 49 910 257 178
"69" "mmu-miR-133a-5p" 12 NA NA 1 NA 2 NA NA NA NA NA NA NA NA NA NA NA 21 NA NA NA NA 2 NA
"70" "mmu-miR-133b-3p" 442 3 66 54 27 4 NA 1 17 3 2 NA 36 NA NA 5 7 93 3 7 8 258 111 41
"71" "mmu-miR-134-5p" 11 NA 37 36 10 51 NA 5 17 6 1 NA 8 3 NA 13 16 2 14 23 22 15 53 20
"72" "mmu-miR-135a-2-3p" 11 6 68 14 24 78 NA 19 14 80 3 6 5 4 55 43 26 10 37 39 67 3 121 20
"73" "mmu-miR-135a-5p" 8679 948 10512 7960 5111 12126 2259 3876 3295 4010 247 465 1545 718 4683 5096 5714 5050 5719 9390 20405 3522 19446 5907
"74" "mmu-miR-135b-5p" 1431 50 336 252 368 627 24 170 95 122 5 13 78 18 232 99 399 176 206 433 711 139 503 141
"75" "mmu-miR-136-3p" 49 6 172 64 23 68 23 24 19 7 NA 5 11 NA 9 18 53 61 15 69 54 27 47 18
"76" "mmu-miR-136-5p" 62 2 83 6 31 8 NA 5 2 8 1 1 4 NA 103 10 NA 45 NA 10 13 NA 4 2
"77" "mmu-miR-137-3p" 3 1 33 1 5 6 NA NA 1 4 4 NA NA 1 NA 6 2 3 4 NA 22 31 29 28
"78" "mmu-miR-138-5p" 23 1 5 28 7 33 NA 6 4 18 NA 3 3 NA NA NA 18 15 10 33 91 NA 24 34
"79" "mmu-miR-139-5p" 109 13 115 87 59 283 NA 67 48 31 17 6 6 3 32 62 65 71 66 30 101 27 255 90
"80" "mmu-miR-140-3p" 399 287 699 732 368 1272 477 318 445 240 106 57 210 83 675 596 855 774 629 542 545 399 1409 635
"81" "mmu-miR-140-5p" 563 62 375 341 204 284 67 86 97 120 5 16 37 27 344 94 144 196 89 275 382 117 361 264
"82" "mmu-miR-141-3p" 40123 2102 17449 5182 15702 4947 3230 2890 2456 1094 191 835 1497 672 7547 1352 1926 5738 2004 6243 4844 13087 3687 3773
"83" "mmu-miR-141-5p" 123 11 125 55 48 47 34 50 24 9 3 6 12 NA 84 23 26 41 17 49 23 17 52 42
"84" "mmu-miR-142a-3p" 418 32 321 276 186 521 525 70 60 183 6 9 39 11 95 34 139 529 100 130 284 63 299 98
"85" "mmu-miR-142a-5p" 216 55 927 249 181 154 108 96 60 26 2 1 37 10 135 28 63 206 52 102 136 33 130 91
"86" "mmu-miR-143-3p" 129887 19027 173858 124135 54353 190562 48190 41744 56025 43529 10421 7480 27216 13155 136243 116086 87778 131151 88962 71981 321333 116826 217941 283298
"87" "mmu-miR-143-5p" 34 2 51 19 25 40 NA 5 4 14 NA NA 2 7 31 10 24 40 28 17 96 60 131 85
"88" "mmu-miR-144-3p" 84 9 201 44 12 40 48 9 15 11 7 7 6 5 17 8 20 84 10 17 19 NA 9 7
"89" "mmu-miR-144-5p" 78 39 208 405 56 343 92 105 88 40 30 19 41 16 NA 121 102 134 169 170 404 54 189 49
"90" "mmu-miR-145a-3p" 976 116 3138 1858 971 2632 525 581 639 1067 102 50 271 112 1148 1313 1012 900 1045 1037 4993 1847 4168 3397
"91" "mmu-miR-145a-5p" 4541 711 5864 4526 2759 6132 1591 1444 1783 1400 1139 305 916 843 4731 3070 3549 5608 4970 2624 9409 6188 13175 37170
"92" "mmu-miR-146a-5p" 2874 1206 6508 6701 4061 4794 2179 2439 1599 1233 229 264 864 396 2237 1648 2064 1895 1794 2837 3098 2053 4301 3329
"93" "mmu-miR-146b-3p" 12 4 10 9 18 17 NA 10 15 NA 3 NA 4 3 NA 10 8 NA 16 35 13 NA 32 4
"94" "mmu-miR-146b-5p" 1639 551 5784 3464 2096 3863 952 2293 1335 1541 62 167 504 294 1833 2933 2177 1151 1577 2865 4442 902 3993 2233
"95" "mmu-miR-147-3p" 3 NA 10 4 4 4 NA NA NA 6 1 NA 1 NA NA NA 11 NA NA NA 6 NA 1 NA
"96" "mmu-miR-147-5p" 1 NA NA 10 3 14 NA 2 4 2 NA NA 4 1 NA 6 28 8 16 NA 19 NA 23 NA
"97" "mmu-miR-148a-3p" 168716 28423 37481 33026 44143 60667 51660 29656 21096 44497 4124 7117 12645 8811 46648 25478 48819 79267 49396 41322 64291 34355 91590 60796
"98" "mmu-miR-148a-5p" 79 49 120 171 57 179 66 103 95 55 17 10 44 26 200 151 198 125 150 151 234 76 259 316
"99" "mmu-miR-148b-3p" 2403 776 987 859 473 748 730 604 374 198 224 155 463 167 1174 593 1429 1121 2048 983 1474 1149 2971 4992
"100" "mmu-miR-148b-5p" 73 6 61 62 42 28 NA 33 17 5 2 NA 11 5 4 7 16 9 14 60 38 26 23 34
"101" "mmu-miR-149-5p" 410 72 793 331 176 654 169 171 178 192 35 12 51 26 44 212 257 179 299 275 490 192 778 439
"102" "mmu-miR-150-5p" 270 66 485 394 221 1810 337 203 129 108 40 9 51 18 256 236 188 298 176 143 354 122 726 387
"103" "mmu-miR-151-3p" 102 41 174 68 104 122 160 53 58 98 39 5 34 20 404 90 103 215 97 86 66 113 332 281
"104" "mmu-miR-151-5p" 1663 631 2988 1672 1049 3966 377 1020 960 642 334 112 390 158 1041 1255 2083 1083 2106 1656 2508 1703 4691 2502
"105" "mmu-miR-152-3p" 1953 603 1236 1290 1425 1788 1362 762 793 619 185 153 475 255 1137 1071 1589 2166 1969 1097 1754 2063 4273 2658
"106" "mmu-miR-152-5p" 4 4 NA 19 6 35 NA 6 12 24 NA NA 10 1 NA 13 21 8 28 14 51 18 69 9
"107" "mmu-miR-153-3p" 94 11 246 30 61 13 195 12 11 24 NA 2 3 1 NA 6 5 80 1 34 35 60 25 6
