"Annotation" "Reads.1" "Reads.2" "Reads.3" "Reads.4" "Reads.5" "Reads.6" "Reads.7" "Reads.8" "Reads.9" "Reads.10" "Reads.11" "Reads.12" "Reads.13" "Reads.14" "Reads.15" "Reads.16" "Reads.17" "Reads.18" "Reads.19" "Reads.20" "Reads.21" "Reads.22" "Reads.23" "Reads.24"
"185" "mmu-miR-200a-3p" 106197 16502 107363 87753 53620 83701 19851 42567 29849 19925 2612 3639 14555 5705 37906 24676 46733 25131 29918 52277 74529 33441 61012 39629
"186" "mmu-miR-200a-5p" 373 47 796 394 146 535 263 242 222 503 32 8 68 45 518 472 267 395 170 283 412 229 599 343
"187" "mmu-miR-200b-3p" 27729 7642 29173 25884 13770 76393 11185 17962 17184 20650 3892 1911 7127 2096 18969 22003 31850 18456 40428 28213 52706 21775 86026 52419
"188" "mmu-miR-200b-5p" 258 115 992 405 173 891 185 214 215 368 67 46 93 32 403 363 391 222 363 357 572 213 1053 441
"189" "mmu-miR-200c-3p" 44204 7881 61584 39966 24545 79924 20413 26839 21582 24510 5965 2801 9257 3480 31815 33151 32394 24669 43610 37347 55534 38141 91747 53741
"190" "mmu-miR-200c-5p" 31 7 47 10 31 11 NA 3 7 1 2 2 NA 1 NA 6 8 18 16 13 15 7 8 5
"191" "mmu-miR-201-5p" 11 3 3 28 19 8 26 6 3 1 NA 5 3 NA NA 2 6 NA 17 9 2 38 14 9
"192" "mmu-miR-202-5p" 38 4 39 184 24 35 134 11 36 8 NA 2 26 1 38 53 54 40 30 30 76 27 27 51
"193" "mmu-miR-203-3p" 626 291 1765 1500 577 3108 391 724 758 648 157 111 395 117 1437 1029 1882 1712 1641 1151 3412 1273 3479 1908
"194" "mmu-miR-203-5p" 3 1 45 11 1 16 NA 3 6 NA NA NA 2 1 NA 6 4 30 7 15 7 NA 14 15
"195" "mmu-miR-203b-3p" 1 NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA 1 14 1 NA 1 NA 2 NA
"196" "mmu-miR-204-3p" 5 2 7 6 NA 14 NA 2 3 5 NA NA 2 NA NA 3 7 NA 9 8 15 NA 25 3
"197" "mmu-miR-204-5p" 4515 955 8126 4263 1896 8089 1020 2234 2303 1977 401 149 856 302 2404 3502 3162 2478 3250 3303 4593 1446 9746 4926
"198" "mmu-miR-205-3p" 18 2 NA 20 6 25 70 12 5 NA NA NA 4 NA 31 5 12 9 10 12 20 NA 30 9
"199" "mmu-miR-205-5p" 1857 437 3042 1623 880 4748 514 1453 944 1083 247 81 498 115 1934 1172 1829 1361 1462 1739 3998 1919 7942 3773
"200" "mmu-miR-206-3p" 4021 NA 93 454 180 NA NA 1 80 NA 5 6 153 3 NA NA 1 228 4 113 3 1343 340 194
"201" "mmu-miR-208a-3p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"202" "mmu-miR-208b-3p" 104 NA NA NA 6 NA NA NA 1 NA NA NA NA NA NA NA NA 10 NA NA NA 3 NA NA
"203" "mmu-miR-208b-5p" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"204" "mmu-miR-20a-3p" 4 NA NA 10 2 8 NA 3 3 3 NA NA NA NA NA NA 4 23 16 NA 3 NA 18 NA
"205" "mmu-miR-20a-5p" 511 53 358 487 262 1171 393 218 204 386 17 39 98 18 215 167 659 547 284 406 1366 192 1559 553
"206" "mmu-miR-20b-5p" 8 1 NA NA 11 22 25 4 2 NA NA NA 3 NA NA 3 9 NA 5 NA 8 2 10 NA
"207" "mmu-miR-210-3p" 199 26 122 90 108 295 33 89 80 41 8 9 83 16 166 14 166 89 176 197 155 80 254 217
"208" "mmu-miR-210-5p" 21 2 27 16 3 18 NA 4 3 2 1 NA 1 NA NA 7 20 NA 5 21 13 NA 28 36
"209" "mmu-miR-211-5p" 2 2 11 9 NA 11 NA 1 7 NA NA NA 4 3 NA 1 3 8 9 8 12 19 17 1
"210" "mmu-miR-212-3p" 3 NA NA 4 8 9 NA 1 4 NA NA NA NA NA NA NA 1 3 4 3 11 NA 7 NA
"211" "mmu-miR-212-5p" 5 1 11 7 6 19 NA 6 7 10 2 NA NA NA NA 1 4 7 17 10 19 38 26 18
"212" "mmu-miR-214-3p" 301 60 277 214 87 521 165 135 141 90 49 18 46 15 155 141 178 88 177 71 238 92 443 434
"213" "mmu-miR-214-5p" 175 26 133 117 68 217 NA 58 63 35 5 NA 12 5 NA 61 62 25 72 52 81 71 198 144
"214" "mmu-miR-215-3p" 7 NA NA 2 NA NA NA NA NA 1 NA NA 18 NA NA NA 9 NA 4 NA NA NA NA NA
"215" "mmu-miR-215-5p" 10 NA 7 8 NA 12 NA 7 4 3 2 NA 261 NA NA 4 129 NA 19 30 23 37 9 NA
"216" "mmu-miR-217-5p" 2 2 23 11 4 7 NA NA 2 NA 3 1 2 NA NA 4 NA NA 2 NA 6 6 9 NA
"217" "mmu-miR-218-1-3p" 5 2 3 1 1 1 NA 1 1 NA NA 3 NA NA NA NA NA 4 NA NA 1 NA NA NA
"218" "mmu-miR-218-5p" 470 84 900 639 396 1389 314 160 309 787 13 53 137 61 479 376 672 548 366 372 1271 345 1476 420
"219" "mmu-miR-219a-1-3p" 2 NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"220" "mmu-miR-21a-3p" 32 14 24 11 17 32 NA 16 6 1 NA 2 NA 1 NA 1 15 20 5 18 19 13 31 NA
"221" "mmu-miR-21a-5p" 175026 32206 245738 231541 103216 294013 50593 82180 92271 53102 8947 12186 44040 17175 94797 109131 163077 116569 93550 130989 294535 98841 296365 147238
"222" "mmu-miR-22-3p" 40431 1462 23314 13667 11649 5572 4090 6556 5431 2961 238 665 1820 972 9015 3876 3950 14268 4101 15119 10973 9939 7233 8556
"223" "mmu-miR-22-5p" 279 15 410 421 187 548 25 93 135 176 15 14 55 32 193 156 233 165 231 361 553 167 784 176
"224" "mmu-miR-221-3p" 2787 608 6328 3604 2883 3980 1216 1554 1715 1138 400 218 674 442 2166 2559 2448 2150 3055 3288 4984 6155 10511 4692
"225" "mmu-miR-221-5p" 230 45 422 286 99 694 116 132 118 219 37 26 51 33 237 176 202 309 396 219 339 439 704 634
"226" "mmu-miR-222-3p" 2492 388 3614 1991 1665 3835 797 1046 1099 448 249 146 523 189 1359 902 1578 782 1863 1523 1946 3513 6531 3162
"227" "mmu-miR-222-5p" 5 1 NA 4 NA 6 NA 7 2 4 NA NA 4 NA 37 NA 5 NA 4 14 3 NA 1 NA
"228" "mmu-miR-223-3p" 192 96 765 587 295 888 298 186 237 103 63 19 110 49 237 268 399 384 408 398 511 217 1133 537
"229" "mmu-miR-223-5p" 11 4 69 41 34 44 24 6 21 25 5 3 3 1 NA 44 39 4 38 56 22 51 57 21
"230" "mmu-miR-224-3p" 1 NA NA 2 6 2 NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 4
"231" "mmu-miR-224-5p" 7 5 8 1 NA 44 NA 5 11 20 NA NA 2 4 24 18 16 19 8 19 4 23 36 31
"232" "mmu-miR-23a-3p" 2946 1171 8024 4643 2818 9556 1584 2240 2817 1897 747 259 821 331 3195 3514 4534 3832 4587 3640 6293 4120 13045 7261
"233" "mmu-miR-23a-5p" 8 1 15 12 8 30 NA 11 8 16 1 NA 2 1 19 8 2 NA 15 14 14 NA 22 7
"234" "mmu-miR-23b-3p" 2781 863 4397 2665 1781 5329 789 1339 1496 964 373 145 470 237 1395 1754 2242 1510 2422 1996 3002 2888 7405 4560
"235" "mmu-miR-23b-5p" 4 NA 5 6 NA 18 NA NA 3 NA NA NA 1 NA NA 9 8 NA 10 NA 5 NA 13 NA
"236" "mmu-miR-24-1-5p" 192 16 45 136 118 141 NA 44 40 30 9 NA 23 NA 15 30 53 45 79 124 58 91 118 108
"237" "mmu-miR-24-2-5p" 1962 193 1978 2007 992 2564 571 643 593 364 61 55 256 124 1082 903 927 878 767 945 2091 505 2159 1133
"238" "mmu-miR-24-3p" 43024 5902 51106 28615 33062 25208 6104 25583 12360 3148 1218 2017 3559 2586 12635 9303 10062 10218 8589 33584 22116 27627 19156 14863
"239" "mmu-miR-25-3p" 2352 968 3487 3168 2545 3394 4651 2356 1839 2564 487 349 819 587 7791 4408 3705 7438 4019 3594 3485 3739 5387 7167
"240" "mmu-miR-26a-1-3p" 3 NA NA 1 5 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA 5
"241" "mmu-miR-26a-2-3p" 12 3 5 13 12 42 NA 4 12 11 NA NA 2 1 NA 9 11 5 7 8 35 7 45 18
"242" "mmu-miR-26a-5p" 40654 10080 84515 44895 39138 121000 25773 34206 39670 29897 5574 3924 12596 5495 42467 53288 54577 45806 42887 47528 85104 67801 148148 77364
"243" "mmu-miR-26b-3p" 8 2 7 5 NA 14 NA 5 4 5 1 NA NA NA NA 4 6 NA 3 5 11 NA 21 9
"244" "mmu-miR-26b-5p" 1168 358 2179 1268 1325 4539 1119 991 1176 1479 173 138 357 281 868 1057 1805 1370 1564 1685 3883 3330 6680 2306
"245" "mmu-miR-27a-3p" 5683 755 8204 4527 3569 4446 1850 2133 2723 981 177 244 872 301 3337 1770 2336 3224 1713 3368 3598 2262 4692 2573
"246" "mmu-miR-27a-5p" 44 11 3 26 13 35 NA 13 4 2 2 1 NA 3 52 20 27 12 13 28 21 NA 42 40
"247" "mmu-miR-27b-3p" 11494 2428 18430 15175 9458 18937 6012 7926 8330 7106 725 770 2501 1156 9303 10185 8900 7021 7904 10263 14583 9289 25826 10754
"248" "mmu-miR-27b-5p" 43 11 52 52 14 62 NA 20 14 15 7 1 13 9 77 30 17 7 36 55 50 13 80 64
"249" "mmu-miR-28a-3p" 122 48 93 75 86 113 21 47 32 100 20 5 28 28 187 60 48 221 68 54 92 130 257 254
"250" "mmu-miR-28a-5p" 434 109 539 302 358 755 209 305 211 237 61 32 85 43 306 302 345 161 336 387 511 568 932 660
"251" "mmu-miR-28c" 6 5 37 9 NA 20 NA 9 3 6 2 NA 5 NA NA 15 9 NA 11 4 21 38 48 6
"252" "mmu-miR-291a-3p" 1 NA NA 4 NA NA NA NA NA 1 NA NA NA NA NA NA 3 NA NA NA 2 NA NA NA
"253" "mmu-miR-293-3p" 10 NA 20 30 5 19 44 3 11 3 1 NA 5 NA NA 9 25 NA 12 20 23 8 19 11
"254" "mmu-miR-293-5p" 6 2 46 36 5 10 NA 11 5 7 2 2 8 5 7 18 39 38 12 29 40 NA 9 12
"255" "mmu-miR-294-3p" 3 NA 24 5 8 5 NA 2 4 1 1 1 3 NA NA NA 11 26 8 6 11 6 9 NA
"256" "mmu-miR-295-3p" 1 2 4 NA NA 2 NA 2 1 NA NA 1 1 NA NA 2 3 NA 3 11 8 5 6 16
"257" "mmu-miR-296-5p" 11 8 48 48 21 20 68 9 8 16 6 NA 2 11 NA 8 55 76 71 19 54 38 60 34
"258" "mmu-miR-297a-3p" 3 NA 7 8 7 6 NA 2 3 1 NA NA 4 1 NA 2 10 NA 8 16 NA NA 7 NA
"259" "mmu-miR-297a-5p" 8 2 NA 6 NA 8 NA NA 2 6 NA NA 3 NA 22 2 1 12 3 NA 5 NA 4 NA
"260" "mmu-miR-297b-3p" 3 NA 7 8 7 6 NA 2 3 1 NA NA 4 1 NA 2 10 NA 8 16 NA NA 7 NA
"261" "mmu-miR-297b-5p" 16 NA 30 12 13 9 NA 10 3 6 1 NA 2 NA NA NA 3 10 3 4 32 NA 7 17
"262" "mmu-miR-297c-3p" 3 NA 7 8 7 6 NA 2 3 1 NA NA 4 1 NA 2 10 NA 8 16 NA NA 7 NA
"263" "mmu-miR-298-5p" 1 NA NA 8 3 3 NA 3 1 2 NA NA NA 3 NA 23 5 7 NA 11 9 NA 5 8
"264" "mmu-miR-299a-3p" 17 NA 12 21 15 24 32 2 6 14 1 NA 3 3 37 10 11 25 5 18 19 11 33 15
"265" "mmu-miR-299a-5p" 5 1 32 15 3 18 NA 7 5 2 4 NA 1 1 7 10 22 14 21 5 30 7 27 31
"266" "mmu-miR-29a-3p" 37523 9102 73285 76132 42757 74825 19943 21211 19485 15251 1900 2316 10374 3236 30696 19636 29704 24191 28347 36252 55550 28224 87145 28779
"267" "mmu-miR-29a-5p" 13 1 40 27 25 39 NA 13 10 14 NA 1 4 3 29 3 21 28 17 8 33 2 53 52
"268" "mmu-miR-29b-1-5p" 4 5 15 15 2 24 16 1 4 5 1 NA 1 NA 35 2 8 1 1 8 13 4 19 23
"269" "mmu-miR-29b-2-5p" 11 3 20 40 15 42 12 6 10 12 6 NA 10 9 NA 8 32 5 38 11 40 5 89 63
"270" "mmu-miR-29b-3p" 3439 1043 3406 1876 1720 1921 1664 903 559 2176 57 81 390 175 3263 549 768 2654 922 1477 1574 1486 1616 1113
"271" "mmu-miR-29c-3p" 1051 354 2348 1073 1082 1290 539 459 319 757 19 42 257 95 1321 273 600 1088 411 798 1501 382 1832 491
"272" "mmu-miR-29c-5p" 34 4 34 44 23 66 NA 6 16 14 1 NA 10 NA 72 9 26 26 13 22 45 28 60 24
"273" "mmu-miR-300-3p" 33 6 64 38 18 23 38 13 19 14 3 NA 2 4 62 22 23 36 32 42 42 3 44 31
"274" "mmu-miR-301a-3p" 19 NA 33 23 6 20 NA 1 9 7 2 NA 4 NA 20 14 22 51 5 3 35 NA 25 1
"275" "mmu-miR-301a-5p" 2 1 NA 18 5 8 NA 4 3 NA NA NA 5 NA NA 2 11 NA 6 6 14 NA 16 3
"276" "mmu-miR-301b-3p" 5 NA NA 8 1 5 NA NA NA NA NA NA NA 1 NA NA 6 5 NA NA 10 NA 1 NA
"277" "mmu-miR-301b-5p" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"278" "mmu-miR-3066-5p" 2 2 NA 4 1 1 NA NA 2 9 NA NA NA NA 3 NA NA 21 4 5 9 7 7 11
"279" "mmu-miR-3068-3p" 148 14 14 78 41 284 75 52 38 48 5 1 20 4 16 52 112 50 138 91 220 54 200 203
"280" "mmu-miR-3068-5p" 169 9 103 39 32 147 NA 33 17 42 NA 5 14 NA NA 13 48 76 62 26 131 52 107 36
"281" "mmu-miR-3072-3p" 1 NA 12 3 NA NA NA NA NA NA NA NA NA NA NA 11 2 NA NA NA 1 NA 8 19
"282" "mmu-miR-3074-1-3p" 2 1 NA 5 NA 1 NA NA 2 NA NA NA NA NA NA NA NA NA 1 NA NA NA 3 4
"283" "mmu-miR-3074-5p" 1 2 21 3 NA 15 NA 2 1 NA 1 NA 2 NA NA NA 7 10 6 NA 1 4 1 26
"284" "mmu-miR-3081-3p" 1 NA 3 1 NA 3 33 NA 1 5 NA NA NA NA NA NA NA NA NA 13 3 NA 6 3
"285" "mmu-miR-3082-3p" 3 NA NA 2 NA 2 NA 1 NA 1 NA NA NA NA NA NA NA NA 4 NA 2 NA NA NA
"286" "mmu-miR-3084-3p" 9 2 10 3 NA 5 NA 7 NA 1 1 NA NA NA NA NA 8 17 6 NA 16 7 9 21
"287" "mmu-miR-3084-5p" 3 7 5 18 2 29 NA 5 13 4 2 NA 4 NA NA 2 5 6 3 6 31 40 18 11
"288" "mmu-miR-3087-3p" 3 1 NA NA 6 6 NA NA 1 NA 1 NA NA NA NA NA NA NA 1 NA NA NA 6 NA
"289" "mmu-miR-3088-3p" 5 1 NA 6 NA 2 NA NA NA NA NA NA NA NA NA NA 7 NA 2 7 10 NA 6 NA
"290" "mmu-miR-3089-3p" 4 1 NA NA 2 4 NA NA 1 3 NA NA 4 2 NA NA NA NA 10 NA NA NA 9 14
"291" "mmu-miR-3095-3p" 3 NA 19 5 NA 10 NA 1 NA 1 NA NA NA NA NA 6 NA NA NA 4 NA NA NA NA
"292" "mmu-miR-30a-3p" 604 264 913 555 787 1239 2019 599 508 1258 150 119 224 161 3578 889 826 3495 726 690 852 2086 2198 2128
"293" "mmu-miR-30a-5p" 17604 4136 48921 50354 21025 49471 22160 10396 14110 16445 843 1656 7574 2834 33973 21720 25808 31295 15762 20622 44613 22042 56440 21323
"294" "mmu-miR-30b-3p" 34 8 16 6 6 41 NA 16 9 23 8 3 1 1 NA 2 11 24 17 2 27 10 42 48
"295" "mmu-miR-30b-5p" 9463 2787 11518 11170 9156 12589 3889 5352 3949 2454 825 698 1747 737 5540 3821 7351 6212 8569 5965 8074 8220 21383 14240
"296" "mmu-miR-30c-1-3p" 12 2 15 NA NA 22 NA 3 8 2 1 NA 3 3 NA 6 5 NA 6 14 10 10 15 7
"297" "mmu-miR-30c-2-3p" 87 21 159 84 85 193 21 63 65 110 16 8 17 15 177 119 112 238 80 69 153 152 260 124
"298" "mmu-miR-30c-5p" 12164 3556 11732 8448 6371 13170 4182 6232 4223 1432 1827 632 2238 952 4292 4776 9259 4617 10108 6727 8933 8129 24961 20850
"299" "mmu-miR-30d-3p" 19 2 13 13 13 33 NA 8 7 9 NA 3 5 4 NA 12 15 33 10 19 37 37 32 4
"300" "mmu-miR-30d-5p" 13047 4773 31200 30584 14358 35052 11684 9033 10386 6913 1804 1142 4228 1690 18598 19878 18098 14868 16095 16403 22624 15644 41582 22463
"301" "mmu-miR-30e-3p" 464 189 521 382 408 624 928 399 267 598 84 58 140 125 2185 528 515 2463 497 555 526 741 1127 966
"302" "mmu-miR-30e-5p" 3562 511 7027 5645 3531 4651 2302 1089 1419 850 94 182 948 163 1988 997 2387 2617 1385 1775 3536 1997 4921 1829
"303" "mmu-miR-31-3p" 1 1 NA 2 8 1 NA NA NA 13 1 NA 10 NA NA NA 1 NA NA NA NA NA 1 7
"304" "mmu-miR-31-5p" 323 46 980 463 261 567 60 140 134 208 32 17 76 17 462 228 221 337 245 212 338 195 681 237
"305" "mmu-miR-3102-3p" 2 NA NA 5 10 2 NA 1 NA 3 1 NA 1 2 NA NA 1 10 1 9 2 8 10 9
"306" "mmu-miR-3112-5p" 2 NA NA NA NA 1 NA NA NA NA NA NA 1 NA NA 1 NA NA NA NA 3 NA NA NA
"307" "mmu-miR-32-3p" 14 7 39 37 23 35 NA 6 23 28 1 4 11 3 16 34 23 12 12 64 87 16 65 8
"308" "mmu-miR-32-5p" 523 49 660 286 167 198 181 64 83 99 10 10 49 23 245 76 145 438 99 245 317 69 154 87
"309" "mmu-miR-320-3p" 155 56 594 279 186 710 210 135 168 266 43 12 57 21 291 402 281 210 298 233 594 190 735 411
"310" "mmu-miR-322-3p" 68 38 157 99 66 197 54 101 69 39 8 21 24 7 17 91 154 31 65 110 175 74 224 143
"311" "mmu-miR-322-5p" 159 13 188 125 97 194 161 63 57 44 5 3 25 7 104 67 131 180 42 67 282 60 267 78
"312" "mmu-miR-324-5p" 88 14 104 136 31 123 13 28 52 79 4 2 24 8 63 40 91 14 52 49 94 75 197 27
"313" "mmu-miR-326-3p" 19 3 90 72 8 48 NA 16 8 5 5 1 3 2 NA 16 42 57 44 15 65 27 143 118
"314" "mmu-miR-328-3p" 120 38 469 104 62 278 NA 48 72 60 42 12 27 19 78 79 109 55 211 112 227 106 467 370
"315" "mmu-miR-329-3p" 14 6 49 10 1 32 NA 10 16 3 2 NA NA 1 NA 8 17 50 16 17 9 6 40 40
"316" "mmu-miR-329-5p" 3 NA NA 14 23 5 NA 3 2 1 NA NA 1 NA 24 7 5 NA 10 11 12 NA 29 1
"317" "mmu-miR-33-3p" 6 1 NA 1 NA 5 NA NA 5 5 3 1 NA NA 22 NA 2 28 3 NA 3 NA 18 17
"318" "mmu-miR-33-5p" 9 2 10 9 NA 2 NA 2 5 13 NA 1 3 NA NA NA 2 3 NA NA 3 NA 1 NA
"319" "mmu-miR-330-3p" 56 2 52 21 17 64 NA 13 15 3 6 NA 20 6 25 40 30 17 48 23 44 17 63 32
"320" "mmu-miR-330-5p" 37 3 44 12 9 33 NA 16 11 6 NA 1 1 4 31 8 18 19 25 16 18 23 36 30
"321" "mmu-miR-331-3p" 94 2 91 41 53 68 108 6 14 3 3 4 8 4 NA 14 50 19 52 21 52 6 68 51
"322" "mmu-miR-331-5p" 11 NA 8 3 NA 7 NA 2 1 4 NA NA NA NA NA NA 1 NA 7 4 2 NA 4 NA
"323" "mmu-miR-335-3p" 11 11 52 24 94 143 67 19 94 22 12 15 21 9 16 125 61 68 62 54 46 78 84 130
"324" "mmu-miR-335-5p" 505 207 571 599 638 1440 193 294 593 123 55 53 160 52 223 384 728 530 561 640 983 1152 807 767
"325" "mmu-miR-337-5p" 92 27 195 107 157 213 34 94 82 34 16 19 16 16 92 60 82 100 52 152 90 146 156 191
"326" "mmu-miR-338-3p" 77 13 33 21 20 32 NA 23 12 9 2 7 1 3 25 4 15 22 3 30 26 37 25 31
"327" "mmu-miR-338-5p" 31 NA 116 28 12 70 NA 18 19 14 5 NA 5 3 83 25 24 26 39 44 65 49 70 73
"328" "mmu-miR-339-3p" 76 24 113 82 53 96 18 29 23 31 9 1 20 8 60 40 64 31 60 48 47 12 147 103
"329" "mmu-miR-339-5p" 303 144 437 372 174 420 65 176 205 107 93 37 73 28 151 175 435 268 567 324 493 163 1421 924
"330" "mmu-miR-340-3p" 168 32 422 215 126 345 159 189 137 132 38 19 50 14 64 246 269 203 223 324 503 377 589 224
"331" "mmu-miR-340-5p" 1710 364 5291 6058 2167 5279 2721 1383 1493 3029 105 334 1165 413 5124 2560 5540 5554 2776 3538 10533 2084 8673 2803
"332" "mmu-miR-342-3p" 143 47 398 239 128 504 146 137 88 50 55 3 39 16 56 174 218 137 250 90 195 186 749 582
"333" "mmu-miR-342-5p" 10 3 3 8 9 27 NA 1 4 4 NA NA 5 NA NA 3 6 NA 5 17 18 25 21 NA
"334" "mmu-miR-344-3p" 9 4 3 9 8 22 NA 2 5 12 NA 2 3 3 NA NA 12 NA 9 14 18 22 16 NA
"335" "mmu-miR-344d-3p" 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"336" "mmu-miR-345-3p" 16 NA 4 14 19 12 NA 2 NA 4 1 NA 3 NA 22 3 3 12 3 NA 8 3 20 1
"337" "mmu-miR-345-5p" 22 13 17 22 12 30 NA 6 22 8 4 2 9 1 69 18 36 36 46 9 8 31 65 89
"338" "mmu-miR-3470a" 1 NA 2 2 NA NA 37 NA NA NA NA NA NA NA NA NA 1 NA NA 2 NA NA 4 NA
"339" "mmu-miR-3473b" 3 4 125 9 3 22 NA 2 1 2 NA NA 1 NA NA 2 8 31 2 6 6 NA 24 20
"340" "mmu-miR-3473d" 1 NA NA NA NA 1 NA NA 1 3 NA NA NA NA NA 1 NA NA NA NA NA NA 6 NA
"341" "mmu-miR-3474" 4 NA NA NA NA NA NA NA 2 3 NA NA NA NA NA 3 2 NA NA NA NA NA 4 NA
"342" "mmu-miR-3475-3p" 1 NA NA 3 NA 8 NA NA 2 3 NA NA 1 NA NA 10 2 NA 6 1 NA NA 3 6
"343" "mmu-miR-34a-5p" 797 67 550 418 510 1127 180 372 292 237 33 38 207 47 234 95 484 403 335 961 1317 646 1245 1066
"344" "mmu-miR-34b-3p" 1277 278 4399 2520 896 2040 760 724 660 288 217 106 369 176 1683 1181 2223 1623 1766 1861 2903 1654 2036 2636
"345" "mmu-miR-34b-5p" 72 2 119 93 44 69 51 6 16 56 NA 3 24 5 NA 38 77 102 30 35 105 NA 109 37
"346" "mmu-miR-34c-3p" 147 32 299 417 77 194 259 67 92 54 32 7 36 34 384 200 418 338 278 194 316 203 331 393
"347" "mmu-miR-34c-5p" 6704 621 9215 16867 3425 8344 3867 1993 3384 2192 329 322 1221 540 3738 3191 11191 6284 5946 4946 12032 2252 6944 3565
"348" "mmu-miR-350-3p" 63 12 24 74 31 40 62 8 22 32 1 5 11 8 107 51 68 390 79 42 78 106 81 83
"349" "mmu-miR-351-5p" 45 17 91 55 50 88 NA 41 22 44 10 5 12 1 90 37 65 41 45 11 102 26 220 83
"350" "mmu-miR-3535" 238 63 519 253 172 341 83 128 127 255 26 41 105 77 338 156 185 282 233 206 324 120 535 355
"351" "mmu-miR-361-3p" 206 91 476 487 245 482 400 245 195 197 55 38 75 34 522 410 288 281 311 371 426 261 666 440
"352" "mmu-miR-361-5p" 352 138 886 518 401 816 72 239 294 186 68 26 126 40 443 364 389 203 417 499 625 435 1033 868
"353" "mmu-miR-362-3p" 181 29 538 280 90 263 NA 63 84 91 4 16 43 31 207 85 178 124 97 131 393 85 338 68
"354" "mmu-miR-362-5p" 30 21 131 136 75 195 NA 34 47 76 9 9 37 15 26 70 121 172 128 121 191 91 562 290
"355" "mmu-miR-363-3p" 2 1 11 21 9 25 NA 5 3 5 3 NA 2 NA NA 7 5 NA 3 NA NA NA 12 7
"356" "mmu-miR-365-3p" 61 8 114 86 45 156 6 27 42 63 25 4 21 14 113 58 98 224 171 77 178 155 315 419
"357" "mmu-miR-369-3p" 16 5 50 146 20 122 63 35 30 68 8 8 8 10 114 74 114 143 78 53 156 81 187 49
"358" "mmu-miR-369-5p" 22 10 64 36 66 39 NA 17 8 6 5 NA 2 1 NA 9 23 NA 27 9 14 42 24 64
"359" "mmu-miR-370-3p" 15 5 11 2 4 2 NA 3 NA NA NA 1 NA 3 45 6 2 NA 3 5 3 NA 11 NA
"360" "mmu-miR-374b-5p" 544 210 1520 766 612 967 419 222 330 199 34 45 112 57 224 159 314 283 355 449 719 561 821 706
"361" "mmu-miR-375-3p" 3126 793 12529 5224 2783 13704 7288 3894 3808 9423 952 345 1035 449 15708 5162 7668 13789 3938 6266 15717 2781 13824 6795
"362" "mmu-miR-376a-3p" 1 NA 30 6 NA 6 6 3 3 1 NA NA 2 NA NA NA NA NA NA 16 9 NA 2 9
"363" "mmu-miR-376a-5p" 4 3 15 3 NA 9 NA 6 1 NA NA 3 1 NA NA NA 6 NA 1 4 7 14 8 9
"364" "mmu-miR-376b-3p" 10 9 69 20 NA 24 NA 2 7 1 NA NA 5 2 21 12 9 1 11 27 17 NA 19 12
"365" "mmu-miR-376b-5p" 90 13 43 66 32 35 NA 15 28 4 1 4 8 5 30 16 15 22 15 49 42 124 34 19
"366" "mmu-miR-376c-3p" 41 16 73 118 96 87 75 45 45 14 5 5 18 14 125 71 49 73 42 57 99 71 89 89
"367" "mmu-miR-377-3p" 4 NA 10 5 NA 1 NA NA 1 2 NA NA NA NA NA NA 3 9 NA NA NA NA NA NA
"368" "mmu-miR-378a-3p" 1998 75 259 388 135 505 10 93 153 114 50 11 156 23 197 138 246 698 273 215 351 707 1170 813
"369" "mmu-miR-378a-5p" 107 12 19 43 12 40 NA 8 7 10 NA 3 5 NA 28 5 11 68 32 13 43 42 57 68
"370" "mmu-miR-378b" 13 1 NA 1 NA 5 NA NA 1 NA NA NA NA NA NA 5 1 1 12 1 4 NA 11 NA
"371" "mmu-miR-378c" 258 8 65 73 22 97 NA 10 23 18 8 3 28 7 44 25 56 169 85 49 53 81 324 126
"372" "mmu-miR-379-3p" 28 4 56 28 22 42 67 18 13 6 2 4 7 3 50 18 17 9 29 1 21 40 50 61
"373" "mmu-miR-379-5p" 911 183 2535 1817 927 1309 1079 635 779 707 62 73 243 160 2429 1036 747 2243 677 2084 1728 1442 1234 972
"374" "mmu-miR-380-3p" 16 1 5 10 NA 16 NA 4 4 NA NA NA NA NA 18 4 7 16 3 NA 7 31 13 13
"375" "mmu-miR-380-5p" 4 NA NA 1 NA 3 NA NA NA NA NA 4 1 NA 25 NA NA NA 6 NA 8 NA 8 NA
"376" "mmu-miR-381-3p" 68 3 36 26 44 24 41 14 12 9 1 1 5 NA 49 8 21 3 21 14 24 4 39 31
"377" "mmu-miR-382-5p" 28 12 96 113 36 122 NA 28 39 42 6 3 17 2 101 99 51 43 56 102 94 122 158 108
