"Num","sncRNA name","Number of targets","Targets"
"1","mmu-miR-471-5p","25","ENSMUSG00000020523.14,ENSMUSG00000021719.9,ENSMUSG00000021957.7,ENSMUSG00000024184.15,ENSMUSG00000024973.16,ENSMUSG00000028298.10,ENSMUSG00000028957.12,ENSMUSG00000030104.9,ENSMUSG00000032123.5,ENSMUSG00000033032.15,ENSMUSG00000034187.18,ENSMUSG00000037904.14,ENSMUSG00000038143.16,ENSMUSG00000040127.13,ENSMUSG00000041702.7,ENSMUSG00000042759.12,ENSMUSG00000044005.13,ENSMUSG00000047238.4,ENSMUSG00000047996.16,ENSMUSG00000062169.13,ENSMUSG00000066721.3,ENSMUSG00000067173.3,ENSMUSG00000068231.4,ENSMUSG00000071361.1,ENSMUSG00000074111.4"
"2","mmu-miR-34c-5p","346","ENSMUSG00000000439.9,ENSMUSG00000001082.12,ENSMUSG00000001120.15,ENSMUSG00000001504.10,ENSMUSG00000001518.12,ENSMUSG00000001555.10,ENSMUSG00000001630.13,ENSMUSG00000002107.18,ENSMUSG00000002455.14,ENSMUSG00000002748.7,ENSMUSG00000002763.16,ENSMUSG00000002812.4,ENSMUSG00000003123.15,ENSMUSG00000004105.8,ENSMUSG00000005089.15,ENSMUSG00000005917.15,ENSMUSG00000006464.8,ENSMUSG00000006494.11,ENSMUSG00000006611.15,ENSMUSG00000008734.9,ENSMUSG00000009585.17,ENSMUSG00000009614.16,ENSMUSG00000011382.8,ENSMUSG00000011632.7,ENSMUSG00000013701.12,ENSMUSG00000015377.9,ENSMUSG00000016493.13,ENSMUSG00000016524.12,ENSMUSG00000018509.8,ENSMUSG00000018909.15,ENSMUSG00000019066.13,ENSMUSG00000019873.8,ENSMUSG00000020020.8,ENSMUSG00000020042.15,ENSMUSG00000020225.10,ENSMUSG00000020315.18,ENSMUSG00000020435.17,ENSMUSG00000020453.17,ENSMUSG00000020522.13,ENSMUSG00000020700.11,ENSMUSG00000020830.3,ENSMUSG00000020846.6,ENSMUSG00000020850.14,ENSMUSG00000020937.14,ENSMUSG00000020940.13,ENSMUSG00000020950.10,ENSMUSG00000021253.7,ENSMUSG00000021556.12,ENSMUSG00000021579.4,ENSMUSG00000021583.7,ENSMUSG00000021611.9,ENSMUSG00000021639.16,ENSMUSG00000021831.8,ENSMUSG00000022149.17,ENSMUSG00000022594.14,ENSMUSG00000022658.10,ENSMUSG00000022773.16,ENSMUSG00000022972.9,ENSMUSG00000022995.16,ENSMUSG00000023022.13,ENSMUSG00000023088.16,ENSMUSG00000023495.13,ENSMUSG00000023939.7,ENSMUSG00000023942.15,ENSMUSG00000023977.15,ENSMUSG00000023982.7,ENSMUSG00000023984.17,ENSMUSG00000023995.11,ENSMUSG00000024410.14,ENSMUSG00000024524.16,ENSMUSG00000024560.6,ENSMUSG00000024587.9,ENSMUSG00000024620.11,ENSMUSG00000024650.4,ENSMUSG00000024835.14,ENSMUSG00000025019.15,ENSMUSG00000025020.11,ENSMUSG00000025077.13,ENSMUSG00000025232.8,ENSMUSG00000025422.9,ENSMUSG00000025468.15,ENSMUSG00000025503.5,ENSMUSG00000025616.14,ENSMUSG00000025754.11,ENSMUSG00000025821.9,ENSMUSG00000025921.7,ENSMUSG00000026074.14,ENSMUSG00000026126.15,ENSMUSG00000026179.14,ENSMUSG00000026269.14,ENSMUSG00000026384.13,ENSMUSG00000026494.12,ENSMUSG00000026799.15,ENSMUSG00000026827.12,ENSMUSG00000026955.13,ENSMUSG00000026959.13,ENSMUSG00000027222.14,ENSMUSG00000027223.15,ENSMUSG00000027371.10,ENSMUSG00000027456.8,ENSMUSG00000027518.3,ENSMUSG00000027630.13,ENSMUSG00000027709.9,ENSMUSG00000027894.14,ENSMUSG00000027939.11,ENSMUSG00000028088.14,ENSMUSG00000028172.5,ENSMUSG00000028221.3,ENSMUSG00000028298.10,ENSMUSG00000028343.10,ENSMUSG00000028464.16,ENSMUSG00000028648.13,ENSMUSG00000028692.14,ENSMUSG00000028878.11,ENSMUSG00000028933.11,ENSMUSG00000029003.11,ENSMUSG00000029007.8,ENSMUSG00000029059.9,ENSMUSG00000029074.14,ENSMUSG00000029110.13,ENSMUSG00000029212.11,ENSMUSG00000029348.11,ENSMUSG00000029463.5,ENSMUSG00000029545.13,ENSMUSG00000029559.15,ENSMUSG00000029578.15,ENSMUSG00000029705.17,ENSMUSG00000029848.11,ENSMUSG00000029859.6,ENSMUSG00000030084.11,ENSMUSG00000030393.8,ENSMUSG00000030428.16,ENSMUSG00000030450.11,ENSMUSG00000030534.13,ENSMUSG00000030556.13,ENSMUSG00000030559.8,ENSMUSG00000030726.16,ENSMUSG00000030727.12,ENSMUSG00000030786.18,ENSMUSG00000030847.8,ENSMUSG00000030862.13,ENSMUSG00000031133.12,ENSMUSG00000031156.18,ENSMUSG00000031200.16,ENSMUSG00000031273.16,ENSMUSG00000031552.13,ENSMUSG00000031600.10,ENSMUSG00000031790.8,ENSMUSG00000031803.8,ENSMUSG00000031832.15,ENSMUSG00000031858.16,ENSMUSG00000031864.16,ENSMUSG00000031875.7,ENSMUSG00000031903.7,ENSMUSG00000031984.8,ENSMUSG00000032290.7,ENSMUSG00000032329.4,ENSMUSG00000032727.13,ENSMUSG00000032840.7,ENSMUSG00000033219.8,ENSMUSG00000033444.14,ENSMUSG00000033540.18,ENSMUSG00000033721.16,ENSMUSG00000033909.17,ENSMUSG00000033967.4,ENSMUSG00000034032.15,ENSMUSG00000034152.6,ENSMUSG00000034292.13,ENSMUSG00000034312.14,ENSMUSG00000034342.9,ENSMUSG00000034472.13,ENSMUSG00000034485.10,ENSMUSG00000034724.17,ENSMUSG00000034981.9,ENSMUSG00000035062.13,ENSMUSG00000035107.13,ENSMUSG00000035189.16,ENSMUSG00000035325.16,ENSMUSG00000035354.9,ENSMUSG00000035437.15,ENSMUSG00000035735.10,ENSMUSG00000036158.12,ENSMUSG00000036244.5,ENSMUSG00000036357.5,ENSMUSG00000036617.16,ENSMUSG00000036819.14,ENSMUSG00000036854.14,ENSMUSG00000036880.9,ENSMUSG00000036923.12,ENSMUSG00000036975.5,ENSMUSG00000037306.13,ENSMUSG00000037375.16,ENSMUSG00000037533.19,ENSMUSG00000037568.12,ENSMUSG00000037845.14,ENSMUSG00000038121.6,ENSMUSG00000038174.14,ENSMUSG00000038446.8,ENSMUSG00000038527.9,ENSMUSG00000038593.18,ENSMUSG00000038648.5,ENSMUSG00000038677.13,ENSMUSG00000038705.13,ENSMUSG00000038725.12,ENSMUSG00000039220.16,ENSMUSG00000039253.7,ENSMUSG00000039419.17,ENSMUSG00000039463.14,ENSMUSG00000039515.11,ENSMUSG00000039628.8,ENSMUSG00000039686.14,ENSMUSG00000039714.9,ENSMUSG00000039903.16,ENSMUSG00000040209.12,ENSMUSG00000040253.15,ENSMUSG00000040274.11,ENSMUSG00000040412.16,ENSMUSG00000040596.15,ENSMUSG00000041064.13,ENSMUSG00000041817.14,ENSMUSG00000042015.17,ENSMUSG00000042046.15,ENSMUSG00000042099.15,ENSMUSG00000042167.6,ENSMUSG00000042436.12,ENSMUSG00000042439.12,ENSMUSG00000042804.13,ENSMUSG00000043385.4,ENSMUSG00000043670.4,ENSMUSG00000043747.12,ENSMUSG00000044055.5,ENSMUSG00000044562.12,ENSMUSG00000044617.8,ENSMUSG00000045091.4,ENSMUSG00000045114.10,ENSMUSG00000045573.9,ENSMUSG00000045777.14,ENSMUSG00000045780.3,ENSMUSG00000046380.3,ENSMUSG00000046516.10,ENSMUSG00000046733.7,ENSMUSG00000047298.3,ENSMUSG00000047514.6,ENSMUSG00000047528.13,ENSMUSG00000047648.13,ENSMUSG00000047712.8,ENSMUSG00000047793.13,ENSMUSG00000047986.12,ENSMUSG00000048012.19,ENSMUSG00000048232.12,ENSMUSG00000048236.8,ENSMUSG00000048796.7,ENSMUSG00000048965.9,ENSMUSG00000049001.5,ENSMUSG00000049093.9,ENSMUSG00000049106.7,ENSMUSG00000049134.15,ENSMUSG00000049551.2,ENSMUSG00000049562.5,ENSMUSG00000049600.8,ENSMUSG00000050017.11,ENSMUSG00000050600.5,ENSMUSG00000051046.7,ENSMUSG00000051107.4,ENSMUSG00000051234.6,ENSMUSG00000051615.13,ENSMUSG00000051786.14,ENSMUSG00000052212.6,ENSMUSG00000052374.15,ENSMUSG00000053080.10,ENSMUSG00000053617.11,ENSMUSG00000054667.7,ENSMUSG00000054676.15,ENSMUSG00000055026.13,ENSMUSG00000055065.6,ENSMUSG00000055322.15,ENSMUSG00000055681.14,ENSMUSG00000055976.6,ENSMUSG00000056071.12,ENSMUSG00000056201.7,ENSMUSG00000056537.11,ENSMUSG00000056708.5,ENSMUSG00000057037.8,ENSMUSG00000057738.13,ENSMUSG00000058626.16,ENSMUSG00000058643.3,ENSMUSG00000059586.9,ENSMUSG00000060843.11,ENSMUSG00000061518.10,ENSMUSG00000061535.11,ENSMUSG00000061561.5,ENSMUSG00000061859.16,ENSMUSG00000062014.12,ENSMUSG00000063116.4,ENSMUSG00000063430.9,ENSMUSG00000063583.6,ENSMUSG00000063646.16,ENSMUSG00000063698.9,ENSMUSG00000064147.6,ENSMUSG00000064215.13,ENSMUSG00000064272.3,ENSMUSG00000066148.3,ENSMUSG00000066878.4,ENSMUSG00000067158.9,ENSMUSG00000067586.4,ENSMUSG00000069622.4,ENSMUSG00000069720.4,ENSMUSG00000069895.4,ENSMUSG00000069998.5,ENSMUSG00000070287.3,ENSMUSG00000070719.4,ENSMUSG00000070953.13,ENSMUSG00000071068.6,ENSMUSG00000073208.12,ENSMUSG00000073514.3,ENSMUSG00000073932.2,ENSMUSG00000074401.2,ENSMUSG00000074577.9,ENSMUSG00000074594.9,ENSMUSG00000074793.10,ENSMUSG00000074812.11,ENSMUSG00000075169.5,ENSMUSG00000075573.4,ENSMUSG00000076436.1,ENSMUSG00000076438.5,ENSMUSG00000078253.3,ENSMUSG00000078630.8,ENSMUSG00000078719.2,ENSMUSG00000079330.8,ENSMUSG00000079427.10,ENSMUSG00000079652.8,ENSMUSG00000087385.8,ENSMUSG00000090326.1,ENSMUSG00000090509.2,ENSMUSG00000091264.3,ENSMUSG00000091682.2,ENSMUSG00000091827.2,ENSMUSG00000091897.1,ENSMUSG00000092192.7,ENSMUSG00000092592.1,ENSMUSG00000094878.2,ENSMUSG00000095325.1,ENSMUSG00000098306.9,ENSMUSG00000110949.1,ENSMUSG00000112129.1,ENSMUSG00000112920.1"
"3","mmu-miR-196b-5p","264","ENSMUSG00000000560.9,ENSMUSG00000001542.7,ENSMUSG00000001604.14,ENSMUSG00000001930.17,ENSMUSG00000002210.11,ENSMUSG00000002233.13,ENSMUSG00000002660.7,ENSMUSG00000002833.11,ENSMUSG00000004591.16,ENSMUSG00000006589.8,ENSMUSG00000007783.10,ENSMUSG00000008129.14,ENSMUSG00000009545.14,ENSMUSG00000011096.17,ENSMUSG00000011632.7,ENSMUSG00000012848.15,ENSMUSG00000014351.12,ENSMUSG00000014668.15,ENSMUSG00000015533.9,ENSMUSG00000016763.14,ENSMUSG00000017211.14,ENSMUSG00000017412.15,ENSMUSG00000017485.11,ENSMUSG00000018372.13,ENSMUSG00000018697.14,ENSMUSG00000019210.10,ENSMUSG00000019785.14,ENSMUSG00000019787.9,ENSMUSG00000020219.7,ENSMUSG00000020246.13,ENSMUSG00000020255.8,ENSMUSG00000020736.12,ENSMUSG00000020893.17,ENSMUSG00000021037.7,ENSMUSG00000021102.4,ENSMUSG00000021144.14,ENSMUSG00000021196.14,ENSMUSG00000021248.9,ENSMUSG00000021264.12,ENSMUSG00000021327.19,ENSMUSG00000021573.15,ENSMUSG00000021712.15,ENSMUSG00000021759.14,ENSMUSG00000021794.15,ENSMUSG00000021966.7,ENSMUSG00000022021.13,ENSMUSG00000022097.3,ENSMUSG00000022303.8,ENSMUSG00000022791.16,ENSMUSG00000023046.6,ENSMUSG00000023266.11,ENSMUSG00000023938.7,ENSMUSG00000024073.14,ENSMUSG00000024079.4,ENSMUSG00000024193.7,ENSMUSG00000024208.15,ENSMUSG00000024247.14,ENSMUSG00000024347.16,ENSMUSG00000024350.5,ENSMUSG00000024570.6,ENSMUSG00000024841.7,ENSMUSG00000025017.9,ENSMUSG00000025142.17,ENSMUSG00000025176.14,ENSMUSG00000025257.5,ENSMUSG00000025521.15,ENSMUSG00000025579.14,ENSMUSG00000025716.14,ENSMUSG00000025795.8,ENSMUSG00000025873.16,ENSMUSG00000026135.17,ENSMUSG00000026270.11,ENSMUSG00000026278.14,ENSMUSG00000026305.15,ENSMUSG00000026333.14,ENSMUSG00000026387.15,ENSMUSG00000026496.11,ENSMUSG00000026632.17,ENSMUSG00000026799.15,ENSMUSG00000026934.15,ENSMUSG00000026965.12,ENSMUSG00000027309.18,ENSMUSG00000027424.11,ENSMUSG00000027485.15,ENSMUSG00000027792.11,ENSMUSG00000028039.11,ENSMUSG00000028186.14,ENSMUSG00000028454.16,ENSMUSG00000028542.17,ENSMUSG00000028618.11,ENSMUSG00000028635.7,ENSMUSG00000028741.13,ENSMUSG00000028798.16,ENSMUSG00000028919.11,ENSMUSG00000028975.16,ENSMUSG00000029019.8,ENSMUSG00000029032.12,ENSMUSG00000029095.17,ENSMUSG00000029134.14,ENSMUSG00000029433.15,ENSMUSG00000029452.18,ENSMUSG00000029526.5,ENSMUSG00000030161.8,ENSMUSG00000030167.15,ENSMUSG00000030243.16,ENSMUSG00000030269.14,ENSMUSG00000030374.15,ENSMUSG00000030474.9,ENSMUSG00000030592.18,ENSMUSG00000030680.6,ENSMUSG00000030753.15,ENSMUSG00000030786.18,ENSMUSG00000030793.4,ENSMUSG00000030986.13,ENSMUSG00000031097.15,ENSMUSG00000031312.5,ENSMUSG00000031375.17,ENSMUSG00000031441.15,ENSMUSG00000031509.10,ENSMUSG00000031621.9,ENSMUSG00000031641.14,ENSMUSG00000031757.7,ENSMUSG00000031792.15,ENSMUSG00000031880.7,ENSMUSG00000032021.14,ENSMUSG00000032080.6,ENSMUSG00000032086.12,ENSMUSG00000032101.6,ENSMUSG00000032303.7,ENSMUSG00000032413.12,ENSMUSG00000032454.9,ENSMUSG00000032473.13,ENSMUSG00000032489.17,ENSMUSG00000032579.14,ENSMUSG00000032816.15,ENSMUSG00000033306.14,ENSMUSG00000033423.16,ENSMUSG00000034330.10,ENSMUSG00000034482.2,ENSMUSG00000034579.17,ENSMUSG00000034744.13,ENSMUSG00000034932.4,ENSMUSG00000035000.8,ENSMUSG00000035085.5,ENSMUSG00000035198.9,ENSMUSG00000035295.10,ENSMUSG00000035296.13,ENSMUSG00000035551.6,ENSMUSG00000035762.11,ENSMUSG00000035770.8,ENSMUSG00000036030.9,ENSMUSG00000036526.8,ENSMUSG00000036570.14,ENSMUSG00000037172.14,ENSMUSG00000037369.17,ENSMUSG00000037415.6,ENSMUSG00000037552.17,ENSMUSG00000037727.6,ENSMUSG00000037750.16,ENSMUSG00000037772.13,ENSMUSG00000038180.11,ENSMUSG00000038523.10,ENSMUSG00000039296.15,ENSMUSG00000039492.7,ENSMUSG00000039536.16,ENSMUSG00000040521.11,ENSMUSG00000040720.15,ENSMUSG00000040794.5,ENSMUSG00000040899.13,ENSMUSG00000041444.14,ENSMUSG00000041649.13,ENSMUSG00000041734.15,ENSMUSG00000042073.15,ENSMUSG00000042167.6,ENSMUSG00000042215.8,ENSMUSG00000043262.16,ENSMUSG00000043301.15,ENSMUSG00000043948.2,ENSMUSG00000044056.3,ENSMUSG00000044320.14,ENSMUSG00000044526.2,ENSMUSG00000046062.5,ENSMUSG00000046519.15,ENSMUSG00000047344.9,ENSMUSG00000047822.8,ENSMUSG00000048379.8,ENSMUSG00000048445.6,ENSMUSG00000048707.9,ENSMUSG00000048996.6,ENSMUSG00000049922.8,ENSMUSG00000050058.6,ENSMUSG00000050328.2,ENSMUSG00000051242.1,ENSMUSG00000051936.4,ENSMUSG00000053593.10,ENSMUSG00000053615.1,ENSMUSG00000056328.14,ENSMUSG00000056399.1,ENSMUSG00000056481.6,ENSMUSG00000056493.9,ENSMUSG00000056612.6,ENSMUSG00000056829.3,ENSMUSG00000057375.13,ENSMUSG00000057666.18,ENSMUSG00000057699.5,ENSMUSG00000058709.11,ENSMUSG00000058935.14,ENSMUSG00000059327.9,ENSMUSG00000059436.13,ENSMUSG00000059475.13,ENSMUSG00000060519.11,ENSMUSG00000060862.10,ENSMUSG00000062044.15,ENSMUSG00000062181.14,ENSMUSG00000063409.12,ENSMUSG00000063446.4,ENSMUSG00000064272.3,ENSMUSG00000064308.10,ENSMUSG00000066233.6,ENSMUSG00000067148.15,ENSMUSG00000067771.9,ENSMUSG00000067941.5,ENSMUSG00000068959.6,ENSMUSG00000069273.2,ENSMUSG00000069421.4,ENSMUSG00000069873.4,ENSMUSG00000070332.4,ENSMUSG00000070604.5,ENSMUSG00000070806.5,ENSMUSG00000071745.1,ENSMUSG00000072720.9,ENSMUSG00000073490.11,ENSMUSG00000074228.2,ENSMUSG00000074247.10,ENSMUSG00000074401.2,ENSMUSG00000074406.5,ENSMUSG00000074874.10,ENSMUSG00000075144.5,ENSMUSG00000075415.13,ENSMUSG00000076617.9,ENSMUSG00000078518.1,ENSMUSG00000078566.8,ENSMUSG00000079330.8,ENSMUSG00000079531.1,ENSMUSG00000079534.1,ENSMUSG00000084782.2,ENSMUSG00000085601.7,ENSMUSG00000087642.3,ENSMUSG00000090700.1,ENSMUSG00000091337.3,ENSMUSG00000097148.2,ENSMUSG00000098306.9,ENSMUSG00000100210.2,ENSMUSG00000100967.1,ENSMUSG00000102018.7,ENSMUSG00000105518.1,ENSMUSG00000106247.1,ENSMUSG00000107023.2,ENSMUSG00000107068.1,ENSMUSG00000108908.4,ENSMUSG00000110469.1,ENSMUSG00000111814.1,ENSMUSG00000112930.1,ENSMUSG00000114432.1"
"4","mmu-miR-144-3p","10","ENSMUSG00000025979.13,ENSMUSG00000027189.16,ENSMUSG00000027312.14,ENSMUSG00000029121.15,ENSMUSG00000042254.14,ENSMUSG00000044029.6,ENSMUSG00000047749.2,ENSMUSG00000052316.9,ENSMUSG00000055594.6,ENSMUSG00000055610.5"
"5","mmu-miR-196a-5p","128","ENSMUSG00000000266.11,ENSMUSG00000000560.9,ENSMUSG00000001517.14,ENSMUSG00000001542.7,ENSMUSG00000001657.7,ENSMUSG00000003269.17,ENSMUSG00000003378.9,ENSMUSG00000006589.8,ENSMUSG00000011632.7,ENSMUSG00000012848.15,ENSMUSG00000015533.9,ENSMUSG00000017485.11,ENSMUSG00000017767.3,ENSMUSG00000019494.14,ENSMUSG00000019785.14,ENSMUSG00000020775.13,ENSMUSG00000020841.5,ENSMUSG00000021248.9,ENSMUSG00000021573.15,ENSMUSG00000021712.15,ENSMUSG00000021966.7,ENSMUSG00000022031.6,ENSMUSG00000024079.4,ENSMUSG00000024208.15,ENSMUSG00000024841.7,ENSMUSG00000025172.2,ENSMUSG00000025521.15,ENSMUSG00000025577.7,ENSMUSG00000025795.8,ENSMUSG00000026496.11,ENSMUSG00000026632.17,ENSMUSG00000026799.15,ENSMUSG00000027886.7,ENSMUSG00000028360.9,ENSMUSG00000028552.13,ENSMUSG00000028618.11,ENSMUSG00000028794.13,ENSMUSG00000029575.17,ENSMUSG00000030161.8,ENSMUSG00000030243.16,ENSMUSG00000030269.14,ENSMUSG00000030729.17,ENSMUSG00000030786.18,ENSMUSG00000031320.9,ENSMUSG00000031391.18,ENSMUSG00000031441.15,ENSMUSG00000031523.16,ENSMUSG00000031574.8,ENSMUSG00000031586.16,ENSMUSG00000031641.14,ENSMUSG00000031864.16,ENSMUSG00000032021.14,ENSMUSG00000032086.12,ENSMUSG00000032171.7,ENSMUSG00000032691.14,ENSMUSG00000032815.16,ENSMUSG00000032816.15,ENSMUSG00000033066.15,ENSMUSG00000033255.8,ENSMUSG00000034566.10,ENSMUSG00000034701.9,ENSMUSG00000034932.4,ENSMUSG00000035551.6,ENSMUSG00000035762.11,ENSMUSG00000036030.9,ENSMUSG00000036940.15,ENSMUSG00000037225.13,ENSMUSG00000037552.17,ENSMUSG00000037727.6,ENSMUSG00000038608.15,ENSMUSG00000038801.6,ENSMUSG00000040794.5,ENSMUSG00000040899.13,ENSMUSG00000041444.14,ENSMUSG00000041734.15,ENSMUSG00000042460.5,ENSMUSG00000047146.16,ENSMUSG00000047344.9,ENSMUSG00000049173.7,ENSMUSG00000049922.8,ENSMUSG00000050088.9,ENSMUSG00000050089.13,ENSMUSG00000050357.9,ENSMUSG00000050756.3,ENSMUSG00000050855.16,ENSMUSG00000050973.11,ENSMUSG00000053615.1,ENSMUSG00000054737.11,ENSMUSG00000056399.1,ENSMUSG00000056829.3,ENSMUSG00000057322.12,ENSMUSG00000057789.13,ENSMUSG00000058935.14,ENSMUSG00000059475.13,ENSMUSG00000059639.2,ENSMUSG00000060036.13,ENSMUSG00000060862.10,ENSMUSG00000062181.14,ENSMUSG00000063446.4,ENSMUSG00000064272.3,ENSMUSG00000065987.12,ENSMUSG00000066897.7,ENSMUSG00000068706.2,ENSMUSG00000068959.6,ENSMUSG00000069421.4,ENSMUSG00000070604.5,ENSMUSG00000070780.11,ENSMUSG00000071537.6,ENSMUSG00000072720.9,ENSMUSG00000073514.3,ENSMUSG00000074129.13,ENSMUSG00000074401.2,ENSMUSG00000074812.11,ENSMUSG00000075144.5,ENSMUSG00000075706.10,ENSMUSG00000093805.7,ENSMUSG00000094362.2,ENSMUSG00000094439.1,ENSMUSG00000094651.2,ENSMUSG00000094818.1,ENSMUSG00000095066.1,ENSMUSG00000095845.3,ENSMUSG00000096295.2,ENSMUSG00000100967.1,ENSMUSG00000108908.4,ENSMUSG00000110353.1,ENSMUSG00000112930.1,ENSMUSG00000114473.1"
